language,domain,h0_s,h0_m,h0_v,h0_e,h0_n_d_m_t0.25,h0_n_d_m_t0.5,h0_n_d_m_t0.75,h0_n_b_l_t0.25,h0_n_b_l_t0.5,h0_n_b_l_t0.75,h0_t_b,h0_t_d,h1_s,h1_m,h1_v,h1_e,h1_n_d_m_t0.25,h1_n_d_m_t0.5,h1_n_d_m_t0.75,h1_n_b_l_t0.25,h1_n_b_l_t0.5,h1_n_b_l_t0.75,h1_t_b,h1_t_d
en,color,2.4027986973524094,0.24027986973524093,0.07016048834744729,2.2595478604436976,4.0,0.0,0.0,10.0,10.0,10.0,0.0,0.35399526357650757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en,emotion,7.07896414399147,0.41640965552891,0.08180072957364343,2.8139741107475102,17.0,2.0,0.0,17.0,17.0,17.0,0.0,0.5961449146270752,0.1696864366531372,0.024240919521876743,0.02265312968410505,1.5228154678672148,7.0,7.0,0.0,0.0,0.0,7.0,0.547855019569397,0.6162927746772766
en,kinship,4.220057807862759,0.16230991568702918,0.028753492997624537,3.242050780415767,0.0,0.0,0.0,26.0,26.0,26.0,0.0,0.21865391731262207,1.063089370727539,0.05595207214355469,0.03054776308546319,2.7760062670271757,11.0,0.0,0.0,18.0,19.0,19.0,0.14488950371742249,0.2543037533760071
es,color,2.3461320400238037,0.23461320400238037,0.053828482031978715,2.274857568409036,6.0,0.0,0.0,10.0,10.0,10.0,0.0,0.3064378798007965,0.008815675973892212,0.008815675973892212,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.3037427067756653,0.3125583827495575
es,emotion,8.336538136005402,0.3969780064764477,0.10874444894873797,3.0054721474135397,19.0,1.0,0.0,21.0,21.0,21.0,0.0,0.7234369516372681,0.28998270630836487,0.04833045105139414,0.028772744909230374,1.608096378866154,6.0,3.0,0.0,0.0,6.0,6.0,0.48719024658203125,0.5868147015571594
es,kinship,6.713315695524216,0.2165585708233618,0.07416503087700918,3.38294211703432,6.0,0.0,0.0,31.0,31.0,31.0,0.0,0.48117104172706604,1.0329366326332092,0.04695166511969133,0.03793848133959716,2.74069098221343,20.0,0.0,0.0,10.0,22.0,22.0,0.19007059931755066,0.323912650346756
ru,color,1.7272061258554459,0.15701873871413144,0.030540217951766077,2.379181568900626,0.0,0.0,0.0,11.0,11.0,11.0,0.0,0.20237579941749573,0.034525468945503235,0.017262734472751617,0.004998736083507538,0.6506158779916648,1.0,0.0,0.0,2.0,2.0,2.0,0.24313658475875854,0.2653980553150177
ru,emotion,7.267117187380791,0.40372873263226616,0.1290547243558036,2.8388981170809844,17.0,3.0,0.0,18.0,18.0,18.0,0.0,0.6890673637390137,0.22679266333580017,0.03779877722263336,0.02590391152486378,1.5671931676611623,6.0,4.0,0.0,0.0,5.0,6.0,0.4758537709712982,0.5630196332931519
ru,kinship,7.777061715722084,0.2508729585716801,0.05836526765560844,3.407582781368034,14.0,0.0,0.0,31.0,31.0,31.0,0.0,0.3881213665008545,0.8585851639509201,0.04769917577505112,0.03213899558266089,2.622793424431439,18.0,0.0,0.0,1.0,18.0,18.0,0.2745954394340515,0.3809020221233368
