layer,head,observed,p_value,effect_size,passes_bh
0,0,0.0007291386909566988,9.999000099990002e-05,11.379571100555252,True
0,1,0.006384099082341263,9.999000099990002e-05,51.486467920881296,True
0,2,0.0019262611916700673,9.999000099990002e-05,23.413117064440907,True
0,3,0.0028213709336115875,9.999000099990002e-05,60.43127052818924,True
0,4,0.00523502666540257,9.999000099990002e-05,45.62382662342461,True
0,5,0.0008579957582262945,9.999000099990002e-05,15.489203675694544,True
0,6,0.0005702859796737902,9.999000099990002e-05,7.316460462769517,True
0,7,0.006792199371773208,9.999000099990002e-05,60.62624056597736,True
0,8,0.005144731734887664,9.999000099990002e-05,52.56098738826464,True
0,9,0.005577009783320597,9.999000099990002e-05,24.67058958540956,True
0,10,0.003471001016643313,9.999000099990002e-05,37.89363726233317,True
0,11,0.010175211525013009,9.999000099990002e-05,90.6796480985136,True
1,0,3.777632048816248e-05,0.19288071192880712,1.3433329978381296,False
1,1,-9.389653750805499e-06,0.8593140685931406,-0.17996318914692178,False
1,2,9.479457425774513e-05,9.999000099990002e-05,16.445591185919664,True
1,3,-7.459267389387132e-05,0.19068093190680932,-1.298803389112012,False
1,4,0.004389685006904509,9.999000099990002e-05,22.407354838503597,True
1,5,0.0007587382164738754,9.999000099990002e-05,6.585774885996221,True
1,6,0.0015141487788452451,9.999000099990002e-05,13.252427668037946,True
1,7,0.00036418316055387284,0.00029997000299970003,5.699617079818449,True
1,8,0.0007153937175749733,9.999000099990002e-05,7.342782465044545,True
1,9,0.000784460068335581,9.999000099990002e-05,8.904544314537498,True
1,10,9.50860538382961e-05,0.0122987701229877,2.6573105066862484,True
1,11,0.00539626513183282,9.999000099990002e-05,32.48575169563708,True
2,0,-3.3428853865424824e-05,0.6434356564343565,-0.4620674282840714,False
2,1,0.0014892233684177941,9.999000099990002e-05,17.40158625226028,True
2,2,0.006570465569408962,9.999000099990002e-05,37.43515255954247,True
2,3,0.0010474582739167099,0.0007999200079992001,5.352081816962053,True
2,4,0.00019347254263766406,0.0014998500149985001,4.104997006346337,True
2,5,0.0009273243495035305,9.999000099990002e-05,8.65735714293394,True
2,6,0.00014756102978519085,0.04509549045095491,1.9657138724594492,False
2,7,0.004269742396151216,9.999000099990002e-05,18.994501702929,True
2,8,0.0008841276630173044,9.999000099990002e-05,8.983801185493206,True
2,9,0.0013874579809918554,9.999000099990002e-05,14.509856151552935,True
2,10,0.00013349971546092534,0.04989501049895011,1.8936316761724774,False
2,11,0.004202031013442381,9.999000099990002e-05,26.478793116743795,True
3,0,0.00029917038274652336,0.004899510048995101,3.0428840618812747,True
3,1,0.000542309807678637,0.013998600139986002,2.876787566339457,True
3,2,3.672595700116043e-05,0.1341865813418658,1.5038957220957032,False
3,3,0.002788066324471289,9.999000099990002e-05,16.761202886912958,True
3,4,-3.1401868139796507e-06,0.9969003099690031,0.0026047103097798035,False
3,5,7.63977135966043e-06,0.9401059894010599,0.07008180464138922,False
3,6,8.406051698187783e-05,0.38686131386861317,0.834038239687998,False
3,7,0.0004948974707555676,9.999000099990002e-05,9.058179297865738,True
3,8,0.0007465669460818627,9.999000099990002e-05,9.604629454786584,True
3,9,2.6416933325314196e-06,0.9183081691830817,0.09726717009085183,False
3,10,0.0030256682105747335,9.999000099990002e-05,14.65990989247689,True
3,11,0.0014953980650141627,9.999000099990002e-05,18.21256650826521,True
4,0,6.322527056970087e-07,0.5691430856914309,0.9103490360746772,False
4,1,3.819859690841476e-05,0.6415358464153584,0.47158406710041684,False
4,2,0.0016532457183071891,9.999000099990002e-05,23.16636122855847,True
4,3,0.004405125126964893,9.999000099990002e-05,22.026573380351927,True
4,4,0.001317709372893161,9.999000099990002e-05,8.15502606902103,True
4,5,-2.4795567961431557e-05,0.6208379162083791,-0.512752761589569,False
4,6,0.00010497101741858972,0.096990300969903,1.575160056631681,False
4,7,0.0026309366604976986,9.999000099990002e-05,18.29662661628354,True
4,8,0.00045418049974274566,0.021397860213978603,2.5733503774867073,True
4,9,0.001196781421134649,9.999000099990002e-05,10.60657966278434,True
4,10,0.0038319784403608725,9.999000099990002e-05,25.679246438243442,True
4,11,0.00021281713389567636,0.014998500149985002,2.6947224958475258,True
5,0,0.0001963840089640595,0.0064993500649935,3.2857215146994765,True
5,1,0.0011159608194060144,9.999000099990002e-05,8.25460637175178,True
5,2,0.0008359874335236162,9.999000099990002e-05,10.289889016299366,True
5,3,0.006772831713837746,9.999000099990002e-05,36.309029456588654,True
5,4,0.0006674847886986024,9.999000099990002e-05,6.946292138430031,True
5,5,0.0012951296137051066,9.999000099990002e-05,15.520970974060864,True
5,6,0.003060405841383687,9.999000099990002e-05,24.06914183479825,True
5,7,0.002015307310517342,9.999000099990002e-05,20.359444544954176,True
5,8,0.0002873704431241575,0.0112988701129887,2.9598315700711533,True
5,9,0.006988281504114624,9.999000099990002e-05,34.53987230867673,True
5,10,0.004671907341861237,9.999000099990002e-05,9.264996226323975,True
5,11,4.555053725376068e-05,0.32126787321267875,0.962447875190163,False
6,0,0.0003722384670770962,0.0013998600139986002,4.972949148576259,True
6,1,0.001979997621487123,9.999000099990002e-05,13.91624033334839,True
6,2,0.00047176532412829264,0.0035996400359964,3.4319242778388444,True
6,3,0.0014987915925575995,9.999000099990002e-05,14.161094211388896,True
6,4,-8.099450853676915e-05,0.413958604139586,-0.767577147232975,False
6,5,0.0002574698379801954,0.08409159084091591,1.6281435293228415,False
6,6,1.4801345199655369e-05,0.8953104689531047,0.13271490224666796,False
6,7,0.0012339330253648972,0.0013998600139986002,4.639272903790838,True
6,8,0.0001643474086961555,0.0812918708129187,1.6735822984668471,False
6,9,0.0005020415337878142,0.027097290270972903,2.252730946907375,True
6,10,0.003193523278932464,9.999000099990002e-05,25.695944609149063,True
6,11,0.0004326310020950075,0.0023997600239976003,3.948308965986884,True
7,0,0.00030906035065231263,0.024197580241975804,2.387572503225705,True
7,1,-2.2884858446141354e-05,0.6583341665833417,-0.43425186585895514,False
7,2,7.255515396203949e-05,0.34826517348265174,0.9058671439872537,False
7,3,0.0008900833200269631,9.999000099990002e-05,6.368717884519267,True
7,4,0.0003997383474122068,0.0263973602639736,2.3645442544802973,True
7,5,0.00018987313027080122,0.0053994600539946005,3.253246042242078,True
7,6,0.00024416512395988854,0.008399160083991601,3.0525192367916354,True
7,7,3.82772858119329e-06,0.9604039596040396,0.045286063815418054,False
7,8,0.0006740740155506963,0.0182981701829817,2.6080939686912177,True
7,9,0.00030989488617882976,0.0052994700529947,3.208109946966616,True
7,10,0.00021696005124058337,0.0402959704029597,2.056716663271645,False
7,11,0.0013966039474812564,0.0012998700129987,4.546205674471884,True
8,0,0.00035343509376553617,0.054594540545945404,1.851596200316098,False
8,1,0.0002937720756304163,0.024197580241975804,2.356565589893415,True
8,2,0.0003986592496614261,0.0021997800219978004,3.9336675975321116,True
8,3,0.00032820267822028515,0.0026997300269973002,3.628288229619383,True
8,4,0.00017933768811874418,0.04839516048395161,1.9295541793405064,False
8,5,0.0004606419877936224,0.010498950104989501,2.8632354263358613,True
8,6,0.00024306800717213695,0.0103989601039896,2.953802403384026,True
8,7,0.00016765785230821173,0.049595040495950406,1.9490513546719972,False
8,8,-2.7689161077995572e-05,0.6722327767223277,-0.40875832081067776,False
8,9,0.00018095741473206362,0.056694330566943306,1.8468500892497834,False
8,10,-3.499754964198659e-05,0.5733426657334266,-0.5588727450216422,False
8,11,0.00024347605750493773,9.999000099990002e-05,4.593701901492088,True
9,0,0.00014487522879556847,0.05319468053194681,1.8849848552750412,False
9,1,-4.83562514692476e-05,0.4948505149485051,-0.6616719061316253,False
9,2,9.703586379751494e-05,0.27787221277872215,1.0475379835408634,False
9,3,0.0003600065672459407,9.999000099990002e-05,7.427255391291355,True
9,4,0.00020107427188305327,0.0306969303069693,2.234632965127776,True
9,5,1.1194240090085794e-05,0.7869213078692131,0.2644458796368201,False
9,6,4.868870847674067e-05,0.42355764423557646,0.770418874614506,False
9,7,0.00013077329944645444,0.1361863813618638,1.4259589202265355,False
9,8,0.00015139912508796427,0.05119488051194881,1.9122483573901672,False
9,9,0.0019384952976782,9.999000099990002e-05,7.291090189752193,True
9,10,0.0006617996785773517,0.0226977302269773,2.412776490622482,True
9,11,0.00019986628026458925,0.010198980101989802,2.9085006441193713,True
10,0,0.0012711005695124622,0.00039996000399960006,5.80318772595953,True
10,1,0.00044858672072746464,0.00029997000299970003,4.934067527022539,True
10,2,0.0001495579375798417,0.0423957604239576,1.9881086794742548,False
10,3,0.0007750564411680982,0.019998000199980003,2.520043686756657,True
10,4,7.09311882547553e-05,0.36336366363363665,0.8793402145772113,False
10,5,-9.835945446859395e-06,0.8717128287171283,-0.15732893154839764,False
10,6,0.00021824237138658165,0.0038996100389961006,3.5241282435567167,True
10,7,5.9828059808045286e-05,0.537946205379462,0.6018229354551069,False
10,8,0.0005688265069828877,9.999000099990002e-05,7.750513117774676,True
10,9,0.0001370737019270596,0.10178982101789821,1.566502206288805,False
10,10,0.0004885056794156489,0.005499450054994501,3.7332722614677274,True
10,11,0.00011715988236063457,0.15448455154484553,1.349619726639914,False
11,0,0.00036690044288020807,0.013598640135986401,2.526260807369975,True
11,1,0.00046340739596454836,9.999000099990002e-05,9.807027766533857,True
11,2,0.0014072441772637057,9.999000099990002e-05,12.24261210902768,True
11,3,0.0013438542100971673,9.999000099990002e-05,19.257057988801513,True
11,4,0.00041328399674807337,0.0005999400059994001,4.847411343511757,True
11,5,-0.00019634263448300993,0.25007499250074994,-1.0986776197013692,False
11,6,0.0012283880594587543,9.999000099990002e-05,14.837839984039615,True
11,7,0.0055210546440695035,9.999000099990002e-05,31.058372883172062,True
11,8,0.0003241261569838817,9.999000099990002e-05,10.548226553775544,True
11,9,0.0048264105348345965,9.999000099990002e-05,24.742772742614562,True
11,10,0.001033195848081217,9.999000099990002e-05,17.816509900578826,True
11,11,0.00034529513242051793,9.999000099990002e-05,8.646559689121013,True
agg,agg,0.0012572859282964366,9.999000099990002e-05,56.759833884838756,True
