rank,layer,head,effect_size,p_value,passes_bh
1,0,11,90.6796480985136,9.999000099990002e-05,True
2,0,7,60.62624056597736,9.999000099990002e-05,True
3,0,3,60.43127052818924,9.999000099990002e-05,True
4,0,8,52.56098738826464,9.999000099990002e-05,True
5,0,1,51.486467920881296,9.999000099990002e-05,True
6,0,4,45.62382662342461,9.999000099990002e-05,True
7,0,10,37.89363726233317,9.999000099990002e-05,True
8,2,2,37.43515255954247,9.999000099990002e-05,True
9,5,3,36.309029456588654,9.999000099990002e-05,True
10,5,9,34.53987230867673,9.999000099990002e-05,True
11,1,11,32.48575169563708,9.999000099990002e-05,True
12,11,7,31.058372883172062,9.999000099990002e-05,True
13,2,11,26.478793116743795,9.999000099990002e-05,True
14,6,10,25.695944609149063,9.999000099990002e-05,True
15,4,10,25.679246438243442,9.999000099990002e-05,True
16,11,9,24.742772742614562,9.999000099990002e-05,True
17,0,9,24.67058958540956,9.999000099990002e-05,True
18,5,6,24.06914183479825,9.999000099990002e-05,True
19,0,2,23.413117064440907,9.999000099990002e-05,True
20,4,2,23.16636122855847,9.999000099990002e-05,True
